ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked,IA,IB,IC,VA,VB,VC
0,0,0,1567064333,287,31,0,5,0,1,1,1,0,0,1567065747,1567064595,235,8,5,1,0,0,0,0,1567036937,1443,3,4,6,1,4294967084,4294967084,4294967084,4286629528,18403090,4285003943
0,0,0,1567064333,287,31,0,5,0,1,1,1,0,0,1567065748,1567064595,235,8,5,1,0,0,0,0,1567057776,1599,3,1,0,0,4294967084,4294967084,4294967084,1036899,4278538507,15345624
0,0,0,1567064333,288,31,0,5,0,1,1,1,0,0,1567065752,1567064595,236,8,5,1,0,0,0,0,1567036937,1444,3,4,6,1,4294967084,4294967084,4294967084,17416386,4281247481,4291170934
0,0,0,1567064333,288,31,0,5,0,1,1,1,0,0,1567065753,1567064595,236,8,5,1,0,0,0,0,1567057776,1600,3,1,0,0,4294967084,4294967084,4294967084,1736621,4278217454,14950675
0,0,0,1567064333,289,31,0,5,0,1,1,1,0,0,1567065757,1567064595,237,8,5,1,0,0,0,0,1567036937,1445,3,4,6,1,4294967084,4294967084,4294967084,7122226,11125308,4276774562
0,0,0,1567064333,289,31,0,5,0,1,1,1,0,0,1567065758,1567064595,237,8,5,1,0,0,0,0,1567057776,1601,3,1,0,0,4294967084,4294967084,4294967084,6062037,12005231,4276960314
0,0,0,1567064333,290,31,0,5,0,1,1,1,0,0,1567065763,1567064595,238,8,5,1,0,0,0,0,1567036937,1446,3,5,6,1,4294967084,4294967084,4294967084,18320699,4285739123,4285802424
0,0,0,1567064333,290,31,0,5,0,1,1,1,0,0,1567065763,1567064595,238,8,5,1,0,0,0,0,1567057776,1602,3,0,0,0,4294967084,4294967084,4294967084,18226330,4287365781,4284308494
0,0,0,1567064333,291,31,0,5,0,1,1,1,0,0,1567065768,1567064595,239,8,5,1,0,0,0,0,1567036937,1447,3,5,6,1,4294967084,4294967084,4294967084,4281946560,4290317896,17676709
0,0,0,1567064333,291,31,0,5,0,1,1,1,0,0,1567065768,1567064595,239,8,5,1,0,0,0,0,1567057776,1603,3,0,0,0,4294967084,4294967084,4294967084,4284222222,4287462407,18236834
0,0,0,1567064333,292,31,0,5,0,1,1,1,0,0,1567065773,1567064595,240,8,5,1,0,0,0,0,1567036937,1448,3,5,6,1,4294967084,4294967084,4294967084,10470655,4276612923,7801456
0,0,0,1567064333,292,31,0,5,0,1,1,1,0,0,1567065773,1567064595,240,8,5,1,0,0,0,0,1567057776,1604,3,0,0,0,4294967084,4294967084,4294967084,4292222906,17165988,4280661944
0,0,0,1567064333,293,31,0,5,0,1,1,1,0,0,1567065778,1567064595,241,8,5,1,0,0,0,0,1567036937,1449,3,5,6,1,4294967084,4294967084,4294967084,14163976,2998027,4277826123
0,0,0,1567064333,293,31,0,5,0,1,1,1,0,0,1567065778,1567064595,241,8,5,1,0,0,0,0,1567057776,1605,3,0,0,0,4294967084,4294967084,4294967084,4276744395,7633123,10668704
0,0,0,1567064333,294,31,0,5,0,1,1,1,0,0,1567065783,1567064595,242,8,5,1,0,0,0,0,1567036937,1450,3,5,6,1,4294967084,4294967084,4294967084,1164638,4278455510,15271493
0,0,0,1567064333,294,31,0,5,0,1,1,1,0,0,1567065783,1567064595,242,8,5,1,0,0,0,0,1567057776,1606,3,0,0,0,4294967084,4294967084,4294967084,1164638,4278455510,15271493
0,0,0,1567064333,295,31,0,5,0,1,1,1,0,0,1567065788,1567064595,243,8,5,1,0,0,0,0,1567036937,1451,3,5,6,1,4294967084,4294967084,4294967084,7706450,10602310,4276705712
0,0,0,1567064333,295,31,0,5,0,1,1,1,0,0,1567065788,1567064595,243,8,5,1,0,0,0,0,1567057776,1607,3,0,0,0,4294967084,4294967084,4294967084,4280135446,16839888,4293077695
