ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked,IA,IB,IC,VA,VB,VC
0,0,0,1567076473,350,35,0,5,0,1,1,1,0,0,1567107004,1567064595,2726,8,5,1,0,0,0,0,1567057776,4091,3,5,0,0,4294967084,4294967084,4294967084,8293796,4276549866,10017325
1,0,0,1567078207,0,36,0,3,0,1,1,1,0,0,1567107007,1567064595,2727,8,5,1,0,0,0,0,1567057776,4091,3,5,19,1,4294967084,4294967084,4294967084,4278014233,14586461,2483895
0,0,0,1567076473,351,35,0,2,0,1,1,1,0,0,1567107009,1567064595,2727,8,5,1,0,0,0,0,1567057776,4092,3,5,0,0,4294967084,4294967084,4294967084,4293670187,16568322,4279774002
1,0,0,1567078207,1,36,0,3,0,1,1,1,0,0,1567107012,1567064595,2728,8,5,1,0,0,0,0,1567057776,4092,3,5,19,1,4294967084,4294967084,4294967084,4293526787,16625929,4279853145
0,0,0,1567076473,352,35,0,2,0,1,1,1,0,0,1567107014,1567064595,2728,8,5,1,0,0,0,0,1567057776,4093,3,5,0,0,4294967084,4294967084,4294967084,12927617,4277159030,4779758
1,0,0,1567078207,2,36,0,3,0,1,1,1,0,0,1567107017,1567064595,2729,8,5,1,0,0,0,0,1567057776,4093,3,5,19,1,4294967084,4294967084,4294967084,4276711238,10513564,7829069
0,0,0,1567076473,353,35,0,2,0,1,1,1,0,0,1567107019,1567064595,2729,8,5,1,0,0,0,0,1567057776,4094,3,5,0,0,4294967084,4294967084,4294967084,4286798377,18395853,4284875226
1,0,0,1567078207,3,36,0,3,0,1,1,1,0,0,1567107022,1567064595,2730,8,5,1,0,0,0,0,1567057776,4094,3,5,19,1,4294967084,4294967084,4294967084,15619548,4278768251,489587
0,0,0,1567076473,354,35,0,2,0,1,1,1,0,0,1567107024,1567064595,2730,8,5,1,0,0,0,0,1567057776,4095,3,5,0,0,4294967084,4294967084,4294967084,16073327,4279272243,4294512345
1,0,0,1567078207,4,36,0,3,0,1,1,1,0,0,1567107027,1567064595,2731,8,5,1,0,0,0,0,1567057776,4095,3,5,19,1,4294967084,4294967084,4294967084,16890575,4280306828,4292659395
0,0,0,1567076473,355,35,0,2,0,1,1,1,0,0,1567107029,1567064595,2731,8,5,1,0,0,0,0,1567057776,4096,3,5,0,0,4294967084,4294967084,4294967084,4278000321,2570022,14439687
1,0,0,1567078207,5,36,0,3,0,1,1,1,0,0,1567107032,1567064595,2732,8,5,1,0,0,0,0,1567057776,4096,3,5,19,1,4294967084,4294967084,4294967084,8568888,9806353,4276650113
0,0,0,1567076473,356,35,0,2,0,1,1,1,0,0,1567107034,1567064595,2732,8,5,1,0,0,0,0,1567057776,4097,3,5,0,0,4294967084,4294967084,4294967084,2404152,4277946781,14548425
1,0,0,1567078207,6,36,0,3,0,1,1,1,0,0,1567107037,1567064595,2733,8,5,1,0,0,0,0,1567057776,4097,3,5,19,1,4294966997,4294967084,4294967084,18311955,4285698692,4285856065
0,0,0,1567076473,357,35,0,2,0,1,1,1,0,0,1567107039,1567064595,2733,8,5,1,0,0,0,0,1567057776,4098,3,5,0,0,4294967084,4294967084,4294967084,4280133461,16832458,4293080504
0,0,0,1567076473,358,35,0,5,0,1,1,1,0,0,1567107044,1567064595,2734,8,5,1,0,0,0,0,1567057776,4099,3,5,0,0,4294967084,4294967084,4294967084,9165800,4276542426,9175703
0,0,0,1567076473,359,35,0,5,0,1,1,1,0,0,1567107049,1567064595,2735,8,5,1,0,0,0,0,1567057776,4100,3,5,0,0,4294967084,4294967084,4294967084,4277537007,13696613,3846501
0,0,0,1567076473,360,35,0,5,0,1,1,1,0,0,1567107054,1567064595,2736,8,5,1,0,0,0,0,1567057776,4101,3,5,0,0,4294967084,4294967084,4294967084,4292108167,17210844,4280715281
0,0,0,1567076473,361,35,0,5,0,1,1,1,0,0,1567107059,1567064595,2737,8,5,1,0,0,0,0,1567057776,4102,3,5,0,0,4294967084,4294967084,4294967084,13978676,4277619903,3275447
0,0,0,1567076473,362,35,0,5,0,1,1,1,0,0,1567107064,1567064595,2738,8,5,1,0,0,0,0,1567057776,4103,3,5,0,0,4294966998,4294967084,4294967084,4293543714,4279765018,16545747
