IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,16319188,4294013878,4279577414
4294967084,4294967084,4294967084,4287900356,4283791727,18177809
4294967084,4294967084,4294967084,16317321,4279518797,4294010752
4294967084,4294967084,4294967084,17390932,4281235780,4291203751
4294967084,4294967084,4294967084,7176175,11071797,4276754431
4294967084,4294967084,4294967084,6126382,11943205,4276945947
4294967084,4294967084,4294967084,4281059405,4291572936,17279126
4294967084,4294967084,4294967084,4282964005,4288958112,17985183
4294967084,4294967084,4294967084,4278046402,14634191,2411692
4294967084,4294967084,4294967084,4277286014,13035600,4768488
4294967084,4294967084,4294967084,4276871188,11579342,6597883
4294967084,4294967084,4294967084,4276703566,10445601,7897064
4294967084,4294967084,4294967084,4276681659,8409170,9951013
4294967084,4294967084,4294967084,13991386,3278190,4277710878
4294967084,4294967084,4294967084,4276885214,6585057,11565023
4294967084,4294967084,4294967084,4284205203,18334300,4287537752
4294967084,4294967084,4294967084,4313889,4277288082,13285191
4294967084,4294967084,4294967084,4281042052,17378852,4291659494
4294967084,4294967084,4294967084,4278671808,15492305,919327
4294967084,4294967084,4294967084,4278041427,14627691,2426420
4294967084,4294967084,4294967084,16340252,4293960781,4279613829
4294967084,4294967084,4294967084,4290508122,4281754770,17636614
4294967084,4294967084,4294967084,16305656,4279489669,4294028580
4294967084,4294967084,4294967084,1268705,4278410711,15210983
