ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked
0,0,0,1566989197,592,6,0,1567020936,0,1,1,1,0,0,1567020933,1566989082,615,2,1567020936,1,0,0,0,0,1566989093,613,1,1567020933,1,1
0,0,0,1566989197,593,6,0,5,0,1,1,1,0,0,1567020938,1566989082,616,2,5,1,0,0,0,0,1566989093,614,1,5,1,1
0,0,0,1566989197,594,6,0,5,0,1,1,1,0,0,1567020943,1566989082,617,2,5,1,0,0,0,0,1566989093,615,1,5,1,1
0,0,0,1566989197,595,6,0,5,0,1,1,1,0,0,1567020948,1566989082,618,2,5,1,0,0,0,0,1566989093,616,1,5,1,1
