IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,16912660,4292586651,4280404695
4294967109,4294967084,4294967084,4276649863,9264583,9129595
4294967084,4294967084,4294967084,16329742,4279509778,4294008124
4294967084,4294967084,4294967084,16329742,4279509778,4294008124
4294967084,4294967084,4294967084,4294933232,4279065736,15909233
4294966997,4294967084,4294967084,4277992207,2572823,14444803
4294967084,4294967084,4294967084,4279343948,4294523963,16099551
4294967084,4294967084,4294967084,4279343948,4294523963,16099551
4294967084,4294967084,4294967084,4279462421,16278904,4294333578
4294967084,4294967084,4294967084,17928017,4289238819,4282757869
4294967084,4294967084,4294967084,4285471020,4286107707,18330659
4294967084,4294967084,4294967084,4276676383,9659173,8722801
4294967084,4294967084,4294967084,15628577,4278770061,434924
4294967084,4294967084,4294967084,11886179,6146253,4276937176
4294967084,4294967084,4294967084,4282990121,18097635,4288958779
4294967084,4294967084,4294967084,18235696,4284426797,4287189906
4294967084,4294967084,4294967084,4299486,4277278634,13278413
4294967084,4294967084,4294967084,4280377841,16970826,4292703224
4294967084,4294967084,4294967084,6958255,4276702753,11201022
4294967084,4294967084,4294967084,4279191958,16028786,4294861869
4294967084,4294967084,4294967084,10778526,4276634787,7455315
4294967084,4294967084,4294967084,4285078136,4286535045,18308326
4294967084,4294967084,4294967084,4277168179,12728267,5158581
4294967084,4294967084,4294967084,4286906418,4284720844,18292814
4294967084,4294967084,4294967084,4289543828,17971643,4282540834
4294967084,4294967084,4294967084,14817535,1940173,4278219429
4294967084,4294967084,4294967084,12992082,4717119,4277275595
4294967084,4294967084,4294967084,12728280,5045678,4277185734
4294967084,4294967084,4294967084,1208649,4278438396,15232659
4294967109,4294967084,4294967084,8940351,9432980,4276627926
4294967084,4294967084,4294967084,18267983,4284828959,4286777346
4294967084,4294967084,4294967084,18267983,4284828959,4286777346
4294967084,4294967084,4294967084,18267983,4284828959,4286777346
4294967084,4294967084,4294967084,18267983,4284828959,4286777346
