ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked,IA,IB,IC,VA,VB,VC
0,0,0,1566989197,592,6,0,5,0,1,1,1,0,0,1567020933,1566989082,615,2,5,1,0,0,0,0,1566989093,613,1,5,1,1,4294967084,4294967084,4294967084,6571,7667,4380
0,0,0,1566989197,593,6,0,5,0,1,1,1,0,0,1567020938,1566989082,616,2,5,1,0,0,0,0,1566989093,614,1,5,1,1,4294967084,4294967084,4294967084,4294965120,4294965109,4294961815
0,0,0,1566989197,594,6,0,5,0,1,1,1,0,0,1567020943,1566989082,617,2,5,1,0,0,0,0,1566989093,615,1,5,1,1,4294967084,4294967084,4294967084,4294966202,4294966196,4294965101
0,0,0,1566989197,595,6,0,5,0,1,1,1,0,0,1567020948,1566989082,618,2,5,1,0,0,0,0,1566989093,616,1,5,1,1,4294967084,4294967084,4294967084,5472,5472,4294965095
