IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4294957428,4294964007,4294967295
4294967084,4294967084,4294967084,4294962952,4294965129,4294964027
4294967084,4294967084,4294967084,6577,4294967295,7673
4294967084,4294967084,4294967084,8698,2168,9808
4294967084,4294967084,4294967084,4445,4294965112,3317
4294967084,4294967084,4294967084,4294965099,4294962902,4294963990
4294967084,4294967084,4294967084,4294966201,4294961821,4294961787
4294967084,4294967084,4294967084,8667,4294965098,7600
4294967084,4294967084,4294967084,4294959641,4294965117,4294965112
4294967084,4294967084,4294967084,4294965098,4294967294,4294967287
4294966999,4294967084,4294967084,3288,4294965103,4294967294
4294967084,4294967084,4294967084,4294958519,4294967284,4294965099
4294967084,4294967084,4294967084,5495,5487,7680
4294967084,4294967084,4294967084,4294966200,4294967288,4294960738
4294967084,4294967084,4294967084,8766,4387,9863
4294967084,4294967084,4294967084,4294966193,4294962911,4294963999
4294967084,4294967084,4294967084,4294966199,4294967295,4294964006
