ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked,IA,IB,IC,VA,VB,VC
0,0,1,1567063637,10,25,0,5,0,0,0,0,0,0,1567063662,1567059919,753,2,5,1,0,1,0,0,1567034791,14,4,4,9,1,4294967084,4294967084,4294967084,4294957428,4294964007,4294967295
0,0,1,1567063637,10,25,0,5,0,0,0,0,0,0,1567063663,1567059919,753,2,5,1,0,0,0,0,1567057776,1182,3,1,0,0,4294967084,4294967084,4294967084,4294962952,4294965129,4294964027
0,0,1,1567063637,11,25,0,5,0,0,0,0,0,0,1567063667,1567059919,754,2,5,1,0,1,0,0,1567034791,15,4,4,9,1,4294967084,4294967084,4294967084,6577,4294967295,7673
0,0,1,1567063637,11,25,0,5,0,0,0,0,0,0,1567063668,1567059919,754,2,5,1,0,0,0,0,1567057776,1183,3,1,0,0,4294967084,4294967084,4294967084,8698,2168,9808
0,0,1,1567063637,12,25,0,5,0,0,0,0,0,0,1567063672,1567059919,755,2,5,1,0,1,0,0,1567034791,16,4,4,9,1,4294967084,4294967084,4294967084,4445,4294965112,3317
0,0,1,1567063637,12,25,0,5,0,0,0,0,0,0,1567063673,1567059919,755,2,5,1,0,0,0,0,1567057776,1184,3,1,0,0,4294967084,4294967084,4294967084,4294965099,4294962902,4294963990
0,0,1,1567063637,13,25,0,5,0,0,0,0,0,0,1567063677,1567059919,756,2,5,1,0,1,0,0,1567034791,17,4,4,9,1,4294967084,4294967084,4294967084,4294966201,4294961821,4294961787
0,0,1,1567063637,13,25,0,5,0,0,0,0,0,0,1567063678,1567059919,756,2,5,1,0,0,0,0,1567057776,1185,3,1,0,0,4294967084,4294967084,4294967084,8667,4294965098,7600
0,0,1,1567063637,14,25,0,5,0,0,0,0,0,0,1567063682,1567059919,757,2,5,1,0,1,0,0,1567034791,18,4,4,9,1,4294967084,4294967084,4294967084,4294959641,4294965117,4294965112
0,0,1,1567063637,14,25,0,5,0,0,0,0,0,0,1567063683,1567059919,757,2,5,1,0,0,0,0,1567057776,1186,3,1,0,0,4294967084,4294967084,4294967084,4294965098,4294967294,4294967287
0,0,1,1567063637,15,25,0,5,0,0,0,0,0,0,1567063687,1567059919,758,2,5,1,0,1,0,0,1567034791,19,4,4,9,1,4294966999,4294967084,4294967084,3288,4294965103,4294967294
0,0,1,1567063637,15,25,0,5,0,0,0,0,0,0,1567063688,1567059919,758,2,5,1,0,0,0,0,1567057776,1187,3,1,0,0,4294967084,4294967084,4294967084,4294958519,4294967284,4294965099
0,0,1,1567063637,16,25,0,5,0,0,0,0,0,0,1567063693,1567059919,759,2,5,1,0,0,0,0,1567057776,1188,3,5,0,0,4294967084,4294967084,4294967084,5495,5487,7680
0,0,1,1567063637,17,25,0,5,0,0,0,0,0,0,1567063698,1567059919,760,2,5,1,0,0,0,0,1567057776,1189,3,5,0,0,4294967084,4294967084,4294967084,4294966200,4294967288,4294960738
0,0,1,1567063637,18,25,0,5,0,0,0,0,0,0,1567063703,1567059919,761,2,5,1,0,0,0,0,1567057776,1190,3,5,0,0,4294967084,4294967084,4294967084,8766,4387,9863
0,0,1,1567063637,19,25,0,5,0,0,0,0,0,0,1567063708,1567059919,762,2,5,1,0,0,0,0,1567057776,1191,3,5,0,0,4294967084,4294967084,4294967084,4294966193,4294962911,4294963999
0,0,1,1567063637,20,25,0,5,0,0,0,0,0,0,1567063713,1567059919,763,2,5,1,0,0,0,0,1567057776,1192,3,5,0,0,4294967084,4294967084,4294967084,4294966199,4294967295,4294964006
