ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked
0,0,0,1567076473,101,35,0,5,0,1,1,1,0,0,1567105755,1567064595,2476,8,1567105755,1,0,0,0,0,1567057776,3841,3,5,0,0
0,0,0,1567076473,102,35,0,5,0,1,1,0,0,0,1567105760,1567076960,0,9,5,1,0,0,0,0,1567057776,3842,3,5,13,1
0,0,0,1567076473,102,35,0,5,0,1,1,1,0,0,1567105760,1567064595,2477,8,0,1,0,0,0,0,1567057776,3842,3,5,0,0
0,0,0,1567076473,103,35,0,5,0,1,1,0,0,0,1567105765,1567076960,1,9,5,1,0,0,0,0,1567057776,3843,3,5,13,1
0,0,0,1567076473,103,35,0,5,0,1,1,1,0,0,1567105765,1567064595,2478,8,0,1,0,0,0,0,1567057776,3843,3,5,0,0
0,0,0,1567076473,104,35,0,5,0,1,1,0,0,0,1567105770,1567076960,2,9,5,1,0,0,0,0,1567057776,3844,3,5,13,1
0,0,0,1567076473,104,35,0,5,0,1,1,1,0,0,1567105770,1567064595,2479,8,0,1,0,0,0,0,1567057776,3844,3,5,0,0
0,0,0,1567076473,105,35,0,5,0,1,1,0,0,0,1567105775,1567076960,3,9,5,1,0,0,0,0,1567057776,3845,3,5,13,1
0,0,0,1567076473,105,35,0,5,0,1,1,1,0,0,1567105775,1567064595,2480,8,0,1,0,0,0,0,1567057776,3845,3,5,0,0
0,0,0,1567076473,106,35,0,5,0,1,1,0,0,0,1567105780,1567076960,4,9,5,1,0,0,0,0,1567057776,3846,3,5,13,1
0,0,0,1567076473,106,35,0,5,0,1,1,1,0,0,1567105780,1567064595,2481,8,0,1,0,0,0,0,1567057776,3846,3,5,0,0
0,0,0,1567076473,107,35,0,5,0,1,1,0,0,0,1567105785,1567076960,5,9,5,1,0,0,0,0,1567057776,3847,3,5,13,1
0,0,0,1567076473,107,35,0,5,0,1,1,1,0,0,1567105785,1567064595,2482,8,0,1,0,0,0,0,1567057776,3847,3,5,0,0
0,0,0,1567076473,108,35,0,5,0,1,1,0,0,0,1567105790,1567076960,6,9,5,1,0,0,0,0,1567057776,3848,3,5,13,1
0,0,0,1567076473,108,35,0,5,0,1,1,1,0,0,1567105790,1567064595,2483,8,0,1,0,0,0,0,1567057776,3848,3,5,0,0
0,0,0,1567076473,109,35,0,5,0,1,1,0,0,0,1567105795,1567076960,7,9,5,1,0,0,0,0,1567057776,3849,3,5,13,1
0,0,0,1567076473,109,35,0,5,0,1,1,1,0,0,1567105795,1567064595,2484,8,0,1,0,0,0,0,1567057776,3849,3,5,0,0
0,0,0,1567076473,110,35,0,5,0,1,1,0,0,0,1567105800,1567076960,8,9,5,1,0,0,0,0,1567057776,3850,3,5,13,1
0,0,0,1567076473,110,35,0,5,0,1,1,1,0,0,1567105800,1567064595,2485,8,0,1,0,0,0,0,1567057776,3850,3,5,0,0
0,0,0,1567076473,111,35,0,5,0,1,1,1,0,0,1567105805,1567064595,2486,8,5,1,0,0,0,0,1567057776,3851,3,5,0,0
0,0,0,1567076473,112,35,0,5,0,1,1,1,0,0,1567105810,1567064595,2487,8,5,1,0,0,0,0,1567057776,3852,3,5,0,0
0,0,0,1567076473,113,35,0,5,0,1,1,1,0,0,1567105815,1567064595,2488,8,5,1,0,0,0,0,1567057776,3853,3,5,0,0
0,0,0,1567076473,114,35,0,5,0,1,1,1,0,0,1567105820,1567064595,2489,8,5,1,0,0,0,0,1567057776,3854,3,5,0,0
