ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked
0,0,0,1567076473,140,35,0,1567105954,0,1,1,1,0,0,1567105950,1567064595,2515,8,1567105950,1,0,0,0,0,1567057776,3880,3,1567105953,0,0
0,0,0,1567076473,141,35,0,5,0,1,1,1,0,0,1567105955,1567064595,2516,8,5,1,0,0,0,0,1567057776,3881,3,5,0,0
0,0,0,1567076473,141,35,0,5,0,1,1,1,1,0,1567105956,1567077156,0,9,1,1,0,0,0,0,1567057776,3881,3,5,14,1
0,0,0,1567076473,142,35,0,5,0,1,1,1,0,0,1567105960,1567064595,2517,8,4,1,0,0,0,0,1567057776,3882,3,5,0,0
0,0,0,1567076473,142,35,0,5,0,1,1,1,1,0,1567105961,1567077156,1,9,1,1,0,0,0,0,1567057776,3882,3,5,14,1
0,0,0,1567076473,143,35,0,5,0,1,1,1,0,0,1567105965,1567064595,2518,8,4,1,0,0,0,0,1567057776,3883,3,5,0,0
0,0,0,1567076473,143,35,0,5,0,1,1,1,1,0,1567105966,1567077156,2,9,1,1,0,0,0,0,1567057776,3883,3,5,14,1
0,0,0,1567076473,144,35,0,5,0,1,1,1,0,0,1567105970,1567064595,2519,8,4,1,0,0,0,0,1567057776,3884,3,5,0,0
0,0,0,1567076473,144,35,0,5,0,1,1,1,1,0,1567105971,1567077156,3,9,1,1,0,0,0,0,1567057776,3884,3,5,14,1
0,0,0,1567076473,145,35,0,5,0,1,1,1,0,0,1567105975,1567064595,2520,8,4,1,0,0,0,0,1567057776,3885,3,5,0,0
0,0,0,1567076473,145,35,0,5,0,1,1,1,1,0,1567105976,1567077156,4,9,1,1,0,0,0,0,1567057776,3885,3,5,14,1
0,0,0,1567076473,146,35,0,5,0,1,1,1,0,0,1567105980,1567064595,2521,8,4,1,0,0,0,0,1567057776,3886,3,5,0,0
0,0,0,1567076473,146,35,0,5,0,1,1,1,1,0,1567105981,1567077156,5,9,1,1,0,0,0,0,1567057776,3886,3,5,14,1
0,0,0,1567076473,147,35,0,5,0,1,1,1,0,0,1567105985,1567064595,2522,8,4,1,0,0,0,0,1567057776,3887,3,5,0,0
0,0,0,1567076473,147,35,0,5,0,1,1,1,1,0,1567105986,1567077156,6,9,1,1,0,0,0,0,1567057776,3887,3,5,14,1
0,0,0,1567076473,148,35,0,5,0,1,1,1,0,0,1567105990,1567064595,2523,8,4,1,0,0,0,0,1567057776,3888,3,5,0,0
0,0,0,1567076473,148,35,0,5,0,1,1,1,1,0,1567105991,1567077156,7,9,1,1,0,0,0,0,1567057776,3888,3,5,14,1
0,0,0,1567076473,149,35,0,5,0,1,1,1,0,0,1567105995,1567064595,2524,8,4,1,0,0,0,0,1567057776,3889,3,5,0,0
0,0,0,1567076473,149,35,0,5,0,1,1,1,1,0,1567105996,1567077156,8,9,1,1,0,0,0,0,1567057776,3889,3,5,14,1
0,0,0,1567076473,150,35,0,5,0,1,1,1,0,0,1567106000,1567064595,2525,8,4,1,0,0,0,0,1567057776,3890,3,5,0,0
0,0,0,1567076473,150,35,0,5,0,1,1,1,1,0,1567106001,1567077156,9,9,1,1,0,0,0,0,1567057776,3890,3,5,14,1
0,0,0,1567076473,151,35,0,5,0,1,1,1,0,0,1567106005,1567064595,2526,8,4,1,0,0,0,0,1567057776,3891,3,5,0,0
0,0,0,1567076473,152,35,0,5,0,1,1,1,0,0,1567106010,1567064595,2527,8,5,1,0,0,0,0,1567057776,3892,3,5,0,0
0,0,0,1567076473,153,35,0,5,0,1,1,1,0,0,1567106015,1567064595,2528,8,5,1,0,0,0,0,1567057776,3893,3,5,0,0
0,0,0,1567076473,154,35,0,5,0,1,1,1,0,0,1567106020,1567064595,2529,8,5,1,0,0,0,0,1567057776,3894,3,5,0,0
0,0,0,1567076473,155,35,0,5,0,1,1,1,0,0,1567106025,1567064595,2530,8,5,1,0,0,0,0,1567057776,3895,3,5,0,0
0,0,0,1567076473,156,35,0,5,0,1,1,1,0,0,1567106030,1567064595,2531,8,5,1,0,0,0,0,1567057776,3896,3,5,0,0
