IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4276689707,8234187,10099295
4294967084,4294967084,4294967084,16029421,4279211064,4294617337
4294967084,4294967084,4294967084,4294130446,4279471116,16282534
4294967084,4294967084,4294967084,4277543190,3801927,13643011
4294967084,4294967084,4294967084,4283316473,18178926,4288583891
4294967084,4294967084,4294967084,4282027732,17801156,4290227385
4294967084,4294967084,4294967084,4279681448,4293962113,16345780
4294967084,4294967084,4294967084,4281018522,17366602,4291664585
4294967084,4294967084,4294967084,4280149225,16836692,4293090063
4294967084,4294967084,4294967084,7876884,4276599307,10382557
4294967084,4294967084,4294967084,17669940,4290254643,4281990253
4294967084,4294967084,4294967084,4277550269,13683889,3852638
4294967084,4294967084,4294967084,16928895,4292583547,4280415424
4294967084,4294967084,4294967084,4276978027,11988107,6084729
4294967084,4294967084,4294967084,4276702495,10460601,7878726
4294967084,4294967084,4294967084,4290740780,4281563677,17581838
4294967084,4294967084,4294967084,4290705054,4281584990,17574364
4294967084,4294967084,4294967084,4293545828,4279786831,16557009
4294967084,4294967084,4294967084,4277158824,5271848,12602460
4294967084,4294967084,4294967084,4277612830,3671830,13739636
4294967084,4294967084,4294967084,4278006668,2547923,14460963
4294967084,4294967084,4294967084,18306442,4285731039,4285826906
4294967084,4294967084,4294967084,4280956072,4291757245,17221293
4294967109,4294967084,4294967084,4282760204,4289242628,17934962
4294967084,4294967084,4294967084,4293663949,16566155,4279781258
4294967084,4294967084,4294967084,4288901431,4282980913,18002931
