ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked,IA,IB,IC,VA,VB,VC
0,0,0,1567064333,192,31,0,5,0,1,1,1,0,0,1567065273,1567064595,140,8,5,1,0,0,0,0,1567057776,1504,3,5,0,0,4294967084,4294967084,4294967084,16912660,4292586651,4280404695
0,0,0,1567064333,192,31,0,5,0,1,1,1,0,0,1567065273,1567064595,140,8,5,1,0,0,0,0,1567057776,4,103,0,4,1,4294967109,4294967084,4294967084,4276649863,9264583,9129595
0,0,0,1567064333,193,31,0,5,0,1,1,1,0,0,1567065278,1567064595,141,8,5,1,0,0,0,0,1567057776,1505,3,5,0,0,4294967084,4294967084,4294967084,16329742,4279509778,4294008124
0,0,0,1567064333,193,31,0,5,0,1,1,1,0,0,1567065278,1567064595,141,8,5,1,0,0,0,0,1567057776,5,103,0,4,1,4294967084,4294967084,4294967084,16329742,4279509778,4294008124
0,0,0,1567064333,194,31,0,5,0,1,1,1,0,0,1567065283,1567064595,142,8,5,1,0,0,0,0,1567057776,1506,3,5,0,0,4294967084,4294967084,4294967084,4294933232,4279065736,15909233
0,0,0,1567064333,194,31,0,5,0,1,1,1,0,0,1567065283,1567064595,142,8,5,1,0,0,0,0,1567057776,6,103,0,4,1,4294966997,4294967084,4294967084,4277992207,2572823,14444803
0,0,0,1567064333,195,31,0,5,0,1,1,1,0,0,1567065288,1567064595,143,8,5,1,0,0,0,0,1567057776,1507,3,5,0,0,4294967084,4294967084,4294967084,4279343948,4294523963,16099551
0,0,0,1567064333,196,31,0,5,0,1,1,1,0,0,1567065288,1567064595,143,8,5,1,0,0,0,0,1567057776,7,103,0,4,1,4294967084,4294967084,4294967084,4279343948,4294523963,16099551
0,0,0,1567064333,196,31,0,5,0,1,1,1,0,0,1567065293,1567064595,144,8,5,1,0,0,0,0,1567057776,1508,3,5,0,0,4294967084,4294967084,4294967084,4279462421,16278904,4294333578
0,0,0,1567064333,197,31,0,5,0,1,1,1,0,0,1567065293,1567064595,144,8,5,1,0,0,0,0,1567057776,8,103,0,4,1,4294967084,4294967084,4294967084,17928017,4289238819,4282757869
