IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294966930,13156,7674,7672
4294967084,4294967084,4294967084,4294965101,4294966198,4294965102
4294967084,4294967084,4294967084,4294965105,4294966202,6579
4294967084,4294967084,4294967084,4294961879,4294961924,4294959754
4294967084,4294967084,4294967084,4294966214,4294966202,4399
4294967084,4294967084,4294967084,4294957467,4294964024,4294964018
4294967084,4294967084,4294967084,4294964024,4294966209,4294960746
4294967084,4294967084,4294967084,4294965116,4294966231,4411
4294967084,4294967084,4294967084,4294966195,6571,4294967295
4294967084,4294967084,4294967084,13112,4294967289,4294965097
4294967084,4294967084,4294967084,5465,5492,3297
4294967084,4294967084,4294967084,4294965103,4294966200,4294965103
4294967084,4294967084,4294967084,4294962889,4294966213,4294966188
4294967084,4294967084,4294967084,6595,6578,6574
4294967084,4294967084,4294967084,5422,6555,5407
4294967084,4294967084,4294967084,4294965103,4294966232,4294965128
4294967084,4294967084,4294967084,10905,8722,7631
4294967084,4294967084,4294967084,4287848207,4283860082,18179162
4294967084,4294967084,4294967084,4282062058,4290132361,17721524
4294967084,4294967084,4294967084,7345979,4276652289,10875758
4294967084,4294967084,4294967084,17420837,4291138848,4281365018
4294967084,4294967084,4294967084,17414376,4291132841,4281358770
4294967084,4294967084,4294967084,17019075,4292269933,4280630232
4294967084,4294967084,4294967084,15440279,4278651716,765661
4294967084,4294967084,4294967084,16770258,4280164124,4292916891
4294967084,4294967084,4294967084,7031205,4276702792,11157547
4294967084,4294967084,4294967084,4289330825,4282631269,17945098
4294967084,4294967084,4294967084,9620250,4276548913,8755243
4294967084,4294967084,4294967084,16225693,4279421386,4294190039
4294967084,4294967084,4294967084,4276658528,9412072,8976736
4294967084,4294967084,4294967084,17452826,4291011984,4281462052
4294967084,4294967084,4294967084,9820787,4276550106,8522943
4294967084,4294967084,4294967084,16913318,4280362452,4292557991
4294967084,4294967084,4294967084,17415407,4291184172,4281329313
4294967084,4294967084,4294967084,1415518,15182838,4278431473
4294967084,4294967084,4294967084,14996159,1640703,4278351259
4294967084,4294967084,4294967084,17085910,4292094372,4280737863
4294967084,4294967084,4294967084,10040338,4276572838,8280507
4294967084,4294967109,4294967084,15421065,864313,4278699454
4294967084,4294967084,4294967084,4278060321,2377974,14571721
4294967084,4294967084,4294967084,4278029033,14610353,2418907
4294967084,4294967084,4294967084,4276646755,9326411,9058903
4294967084,4294967084,4294967084,2691311,4277827791,14362654
4294967084,4294967084,4294967084,4280291650,16927224,4292827508
4294967084,4294967084,4294967084,17058392,4292205689,4280670511
4294967084,4294967084,4294967084,8312909,4276607998,9982814
4294967084,4294967084,4294967084,4278649611,985844,15373494
4294967084,4294967084,4294967084,4278633447,1022303,15353159
4294967084,4294967084,4294967084,11796395,4276826361,6246019
4294967084,4294967084,4294967084,4281199014,17448053,4291426691
4294967084,4294967084,4294967084,4285118287,4286516451,18305323
4294967084,4294967084,4294967084,1987425,14854345,4278206696
4294967000,4294967084,4294967084,13924087,3354048,4277685865
4294967084,4294967084,4294967084,4277567155,13733767,3763947
4294967109,4294967084,4294967084,4293633368,16573077,4279805965
4294967084,4294967084,4294967084,4282937924,4288986309,17992878
4294967084,4294967084,4294967084,4279412138,16256362,4294361468
4294967084,4294967084,4294967084,17932454,4282837441,4289084653
4294967084,4294967084,4294967084,10280767,4276583812,7975597
4294967084,4294967084,4294967084,17795005,4282290321,4289750432
4294967084,4294967084,4294966928,4287868408,4283829927,18178145
4294967084,4294967084,4294967084,9704476,8688565,4276634545
4294967084,4294967084,4294967084,6915277,4276711572,11256040
4294967084,4294967109,4294967084,11378652,4276745232,6721610
4294966928,4294967084,4294967084,16633221,4279961459,4293266445
4294967084,4294967084,4294967084,4276724170,7945773,10393840
4294967000,4294967084,4294967084,16313653,4294007864,4279595590
4294967084,4294967084,4294967084,4281049479,17372186,4291629144
4294967084,4294967084,4294967084,16987297,4292358392,4280569164
4294966999,4294967084,4294967084,4276864873,6802421,11380021
4294967084,4294967084,4294967084,16257477,4294161359,4279514598
4294967084,4294967084,4294967084,4276960630,6171506,11873651
4294967084,4294967084,4294967084,15601802,495155,4278853947
4294967084,4294967084,4294967084,4285374720,18414634,4286234048
4294967084,4294967084,4294967084,18050060,4283294759,4288497679
4294967084,4294967084,4294967084,4288016442,18247709,4283746108
4294967084,4294967084,4294967084,10069660,8271483,4276676434
4294967084,4294967084,4294967000,12163133,5829125,4277004536
4294967084,4294967084,4294967084,2836741,14330310,4277857258
4294967084,4294967084,4294967084,4285445468,18411763,4286169501
4294966999,4294967084,4294967084,15627257,476050,4278872764
4294967084,4294967084,4294967084,4286935041,18366505,4284732809
4294967084,4294967084,4294967084,8106935,4276580824,10191807
4294967084,4294967084,4294967084,4282180780,4290018326,17765324
4294967084,4294967084,4294967084,11087067,4276698350,7065632
4294967084,4294967084,4294967084,4287988299,18261573,4283804229
4294967084,4294967084,4294967084,1456236,15178872,4278406741
4294967084,4294967084,4294967084,6834456,4276725146,11312285
4294967084,4294967084,4294967084,4292185805,17166085,4280670436
4294967084,4294967084,4294967084,4276687150,8341508,10008802
4294967084,4294967084,4294967084,15607815,4278779981,456698
4294967084,4294967084,4294967084,17896906,4282658332,4289327940
4294967084,4294967084,4294967084,4279350664,16203206,4294507823
4294967084,4294967084,4294967084,13917744,3373280,4277681679
4294967084,4294967084,4294966917,15689139,362394,4278922347
4294967084,4294967084,4294967084,4287332934,18330712,4284394843
4294967084,4294967084,4294967084,18191052,4284148455,4287538018
4294967084,4294967084,4294967084,10753195,7526296,4276727512
4294967084,4294967084,4294967084,4276718811,7931081,10413859
4294967084,4294967084,4294967084,4278643014,1014988,15327893
4294967109,4294967084,4294967109,26508,15927726,4279068969
4294967109,4294967084,4294967084,4547179,13164840,4277318950
4294967084,4294967084,4294966999,14082836,3117534,4277778985
4294967084,4294967084,4294967084,4286636055,18401896,4285022730
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
4294967084,4294967084,4294967084,34017,4279031095,15888831
