ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked
0,0,1,1566989094,23,4,0,1566989189,0,1,1,1,0,0,1566989187,1566989082,25,2,1566989187,1,0,0,0,0,1566989093,25,1,1566989193,0,0
0,0,0,1566989197,5,6,0,13,0,1,1,1,0,0,1566989197,1566989082,27,2,10,1,0,0,0,0,1566989093,27,1,10,0,0
0,0,0,1566989197,7,6,0,10,0,1,1,1,0,0,1566989207,1566989082,29,2,10,1,0,0,0,0,1566989093,29,1,10,0,0
0,0,0,1566989197,9,6,0,10,0,1,1,1,0,0,1566989217,1566989082,31,2,10,1,0,0,0,0,1566989093,31,1,10,0,0
0,0,0,1566989197,11,6,0,10,0,1,1,1,0,0,1566989227,1566989082,33,2,10,1,0,0,0,0,1566989093,33,1,10,0,0
0,0,0,1566989197,13,6,0,10,0,1,1,1,0,0,1566989237,1566989082,35,2,10,1,0,0,0,0,1566989093,35,1,10,0,0
0,0,0,1566989197,15,6,0,10,0,1,1,1,0,0,1566989247,1566989082,37,2,10,1,0,0,0,0,1566989093,37,1,10,0,0
0,0,0,1566989197,17,6,0,10,0,1,1,1,0,0,1566989257,1566989082,39,2,10,1,0,0,0,0,1566989093,39,1,10,0,0
0,0,0,1566989197,19,6,0,10,0,1,1,1,0,0,1566989267,1566989082,41,2,10,1,0,0,0,0,1566989093,41,1,10,0,0
0,0,0,1566989197,21,6,0,10,0,1,1,1,0,0,1566989277,1566989082,43,2,10,1,0,0,0,0,1566989093,43,1,10,0,0
0,0,0,1566989197,23,6,0,10,0,1,1,1,0,0,1566989287,1566989082,45,2,10,1,0,0,0,0,1566989093,45,1,10,0,0
0,0,0,1566989197,25,6,0,10,0,1,1,1,0,0,1566989297,1566989082,47,2,10,1,0,0,0,0,1566989093,47,1,10,0,0
0,0,0,1566989197,27,6,0,10,0,1,1,1,0,0,1566989307,1566989082,49,2,10,1,0,0,0,0,1566989093,49,1,10,0,0
0,0,0,1566989197,29,6,0,10,0,1,1,1,0,0,1566989317,1566989082,51,2,10,1,0,0,0,0,1566989093,51,1,10,0,0
0,0,0,1566989197,31,6,0,10,0,1,1,1,0,0,1566989327,1566989082,53,2,10,1,0,0,0,0,1566989093,53,1,10,0,0
0,0,0,1566989197,33,6,0,10,0,1,1,1,0,0,1566989337,1566989082,55,2,10,1,0,0,0,0,1566989093,55,1,10,0,0
0,0,0,1566989197,35,6,0,10,0,1,1,1,0,0,1566989347,1566989082,57,2,10,1,0,0,0,0,1566989093,57,1,10,0,0
0,0,0,1566989197,37,6,0,10,0,1,1,1,0,0,1566989357,1566989082,59,2,10,1,0,0,0,0,1566989093,59,1,10,0,0
0,0,0,1566989197,39,6,0,10,0,1,1,1,0,0,1566989367,1566989082,61,2,10,1,0,0,0,0,1566989093,61,1,10,0,0
