IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,7957271,4276586868,10314628
4294967084,4294967084,4294967084,9289479,4276539078,9063849
4294967084,4294967084,4294967084,4286676620,4284909863,18316309
4294967084,4294967084,4294967084,4281062909,4291584760,17286871
4294967084,4294967084,4294967084,4277683763,3191310,14109687
4294967084,4294967084,4294967084,14435779,2696696,4277842517
4294967084,4294967084,4294967084,4294904803,4294906995,4294874102
4294967084,4294967084,4294967084,4294967272,4366,4322
4294967084,4294967084,4294967084,4294961815,4294965105,4294966200
