IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4294966197,4294967295,4294966199
4294967084,4294967084,4294967084,4294964002,4294966181,4294966189
4294967084,4294967084,4294967084,4294966197,4294967295,4294964004
4294967084,4294967084,4294967084,9861,9860,7667
4294967084,4294967084,4294967084,4277112425,5410721,12481348
4294967084,4294967084,4294967084,10573088,7722051,4276713724
4294967084,4294967084,4294967084,14850185,4278150981,1866328
4294967084,4294967084,4294967084,4292056291,17218170,4280752229
4294967084,4294967084,4294967084,4281765648,17685636,4290635709
4294967084,4294967084,4294967084,4277538208,13702801,3822755
4294967084,4294967084,4294967084,18404035,4285852630,4285641757
4294967084,4294967084,4294967084,76436,15990446,4278974975
4294967084,4294967084,4294967084,14906611,1913050,4278157500
4294967084,4294967084,4294967084,4294966196,4294967292,4294965101
4294967084,4294967084,4294967084,6588,5490,8763
4294967084,4294967084,4294967084,4294965110,4294967292,4294965091
4294967084,4294967084,4294967084,7665,5480,13150
4294967084,4294967084,4294967084,4294967291,4294967287,4294965099
4294967084,4294967084,4294967084,2181,2186,4294965114
4294967084,4294967084,4294967084,12055,6581,10959
4294967084,4294967084,4294967084,7721,5499,6607
4294967084,4294967084,4294967084,4294965103,4294965104,4294965104
4294967084,4294967084,4294967084,4294958509,4294967292,4294967292
4294967084,4294967084,4294967084,4294965118,4294967293,4294967294
4294967084,4294967084,4294967084,7655,3276,8743
4294967084,4294967084,4294967084,7655,3276,8743
