IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,1123,4294967291,2191
4294967084,4294966998,4294967084,6555,4384,5466
4294967084,4294967084,4294967084,13143,5479,12045
4294967084,4294967084,4294967084,11779841,4276830825,6259044
4294967084,4294967084,4294967084,16876623,4280281386,4292694313
4294967084,4294967000,4294967084,14773624,4278095494,2001693
4294967084,4294967084,4294967084,4276798223,7124322,11096321
4294967084,4294967084,4294967084,4285783005,18407289,4285857212
4294967084,4294967084,4294967084,4277266254,12944485,4863973
4294967084,4294967084,4294967084,4279084212,16106145,4294848378
4294967084,4294967084,4294967084,4283856382,18372964,4287816169
4294967084,4294967084,4294967084,17439520,4291406259,4281100844
4294967084,4294967084,4294967084,4294964007,4294965103,4294964007
