IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4294967292,4294962919,4294966200
4294967084,4294967084,4294966928,4294965101,4294964010,4294966200
4294967084,4294967084,4294967084,4294964015,4294966206,4294961822
4294967084,4294967084,4294967084,4294967294,7662,5467
4294967084,4294967084,4294967084,4294967294,4294964007,4294964009
4294967084,4294967084,4294967084,4277231153,12838439,4995254
4294967084,4294967084,4294967084,4292074238,17190159,4280726192
4294967084,4294967084,4294967084,17415985,4291186665,4281314421
4294967084,4294967084,4294967084,4276879370,6577447,11560896
4294967084,4294967084,4294967084,10777398,4276637329,7446430
4294967084,4294967084,4294967084,2947194,4277724690,14204407
4294967084,4294967084,4294967084,5368596,4276933512,12591752
4294967084,4294967084,4294967084,17981159,4289388354,4282547345
4294967109,4294967084,4294967084,4282623463,4289321543,18000707
4294967084,4294967084,4294967084,8753,4408,7637
4294967084,4294967084,4294967084,4294966198,4294967295,4294966200
4294967084,4294967084,4294967084,6536,3275,7620
4294967084,4294967084,4294967084,7671,4384,10961
4294967084,4294967084,4294967084,10824,4294967266,9731
4294967084,4294967084,4294967084,10946,4380,9851
4294967084,4294967084,4294967084,4294967275,6552,4294966177
4294967084,4294967084,4294967084,4294967295,4294964011,4294964006
4294967084,4294967084,4294967084,6576,4386,7673
4294967084,4294967084,4294967084,13148,7693,7660
4294967084,4294967084,4294967084,4294966205,4294966203,4294964013
4294967084,4294967084,4294967084,4294965109,4386,4294964015
4294967084,4294967084,4294967084,4294965109,4386,4294964015
