IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4294966198,0,4294965102
4294967084,4294967084,4294967084,6576,3289,3286
4294967084,4294967084,4294967084,4294962871,4294966162,4294965053
4294967084,4294967084,4294967084,4294959722,4294964042,4294965104
4294967084,4294967084,4294967084,11910582,4276852070,6115783
4294967084,4294967084,4294967084,4287836539,4283849532,18190424
4294967084,4294967084,4294967084,4279298248,4294596716,16036324
4294967084,4294967084,4294967084,13043881,4644593,4277295275
4294967084,4294967084,4294967084,4276686853,8122849,10220088
4294967084,4294967084,4294967084,14685359,4278066240,2104920
4294967084,4294967084,4294967084,18163827,4288332302,4283390218
4294967084,4294967084,4294967084,4279414998,4294230179,16305919
4294967084,4294967084,4294967084,4294944265,19733,4294947556
4294967084,4294967084,4294967084,13130,5455,10922
4294967084,4294967084,4294967084,7693,3290,4402
4294967084,4294967084,4294967084,4294965113,4294966203,4294966211
4294967084,4294967084,4294967084,12058,5480,10958
4294967084,4294967084,4294967084,4294962910,4294961809,4294960718
4294967084,4294967084,4294967000,8772,4294965104,5482
4294967084,4294967084,4294967084,4294966199,4294967293,9868
4294967084,4294967084,4294967084,2130,4294967288,4294966196
4294967084,4294967084,4294967084,10958,4384,6575
4294967084,4294967084,4294967084,4294965134,2205,4294965124
4294967084,4294967084,4294967084,10936,5489,7677
4294967084,4294967084,4294967084,4294965116,4294964018,4294964014
4294967084,4294967084,4294967084,4294965116,4294964018,4294964014
