ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked
0,0,0,1567390411,2861,10,0,1567404696,0,1,1,1,0,0,1567404692,1567404687,5,61,1567404692,1,0,0,0,0,1567404471,50,19,1567404700,11,2
0,0,0,1567390411,2863,10,0,10,0,1,1,1,0,0,1567404702,1567404687,7,61,10,1,0,0,0,0,1567404471,52,19,10,11,2
0,0,0,1567390411,2865,10,0,10,0,1,1,1,0,0,1567404712,1567404687,9,61,10,1,0,1,0,0,1567404717,0,20,7,11,2
0,0,0,1567390411,2866,10,0,5,0,1,0,1,0,0,1567404717,1567404717,0,62,5,1,0,0,0,0,1567404718,5,25,6,11,2
0,0,0,1567390411,2868,10,0,10,0,0,0,0,0,0,1567404728,1567404718,6,73,11,1,0,0,0,0,1567404718,7,25,10,11,2
0,0,0,1567390411,2870,10,0,10,0,0,0,0,0,0,1567404738,1567404718,8,73,10,1,0,0,0,0,1567404718,9,25,10,11,2
0,0,0,1567390411,2872,10,0,10,0,0,0,0,0,0,1567404748,1567404718,10,73,10,1,0,0,0,0,1567404718,11,25,10,11,2
0,0,0,1567390411,2874,10,0,10,0,0,0,0,0,0,1567404758,1567404718,12,73,10,1,0,0,0,0,1567404718,13,25,10,11,2
0,0,0,1567390411,2876,10,0,10,0,0,0,0,0,0,1567404768,1567404718,14,73,10,1,0,0,0,0,1567404718,15,25,10,11,2
