IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4294964021,4294965104,4294964020
4294967084,4294967084,4294967084,5476,4294967295,8765
4294967000,4294967084,4294967084,4294966205,4294966194,4294963995
4294967084,4294967084,4294967084,12058,8773,5481
4294967084,4294967084,4294967084,16796110,4280194936,4292881046
4294967084,4294967084,4294967084,4291821878,4280824875,17215458
4294967084,4294967084,4294967084,11024430,7206237,4276763051
4294967084,4294967084,4294967084,4278550839,1194722,15220723
4294967084,4294967084,4294967084,2614804,4277857176,14410828
4294967084,4294967084,4294967084,4277159996,12665160,5237521
4294967084,4294967084,4294967084,16065363,4279063038,4294704236
4294967084,4294967084,4294967084,4287372829,4284197220,18333841
4294967084,4294967084,4294967084,3579870,4277430095,13861852
4294967084,4294967084,4294967084,4294964007,4294967293,4294965101
4294967084,4294967084,4294967084,4294964008,4294967294,4294962911
4294967084,4294967084,4294967084,13110,5482,7664
4294967084,4294967084,4294967084,13125,5485,10973
4294967084,4294967084,4294967084,4294964024,2185,4294962935
4294967084,4294967084,4294967084,4294967289,4294962935,4294962951
4294967084,4294967084,4294967084,4294962917,4294966227,4294966213
4294967084,4294967084,4294967084,5440,8685,6518
4294967084,4294967084,4294967084,4294967292,4294966209,4294967279
4294967084,4294967084,4294967084,5471,4294966193,10951
4294967084,4294967084,4294967084,4294960757,4294966209,4294958598
