ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked
0,0,0,1567390411,3112,10,0,1567405951,0,0,0,0,0,0,1567405948,1567405758,42,120,1567405948,1,0,0,0,0,1567405758,43,37,1567405953,11,2
0,0,0,1567390411,3114,10,0,10,0,0,0,0,0,0,1567405958,1567405758,44,120,10,1,0,0,0,0,1567405758,45,37,10,11,2
0,0,0,1567390411,3116,10,0,10,0,0,0,0,0,0,1567405968,1567405758,46,120,10,1,0,0,0,0,1567405758,47,37,10,11,2
0,0,0,1567390411,3118,10,0,10,0,0,0,0,0,0,1567405978,1567405758,48,120,10,1,0,0,0,0,1567405758,49,37,10,11,2
0,0,0,1567390411,3119,10,0,5,0,0,0,0,0,0,1567405983,1567405983,0,121,5,1,0,0,0,0,1567405758,50,37,5,11,2
0,0,0,1567390411,3120,10,0,5,0,1,1,1,0,0,1567405988,1567405983,5,126,5,1,0,0,0,0,1567405758,51,37,5,11,2
0,0,0,1567390411,3121,10,0,5,0,1,1,1,0,0,1567405993,1567405983,6,126,5,1,0,0,0,0,1567405758,52,37,5,11,2
0,0,0,1567390411,3122,10,0,5,0,1,1,1,0,0,1567405998,1567405983,7,126,5,1,0,0,0,0,1567405758,53,37,5,11,2
0,0,0,1567390411,3123,10,0,5,0,1,1,1,0,0,1567406003,1567405983,8,126,5,1,0,0,0,0,1567405758,54,37,5,11,2
0,0,0,1567390411,3124,10,0,5,0,1,1,1,0,0,1567406008,1567405983,9,126,5,1,0,0,0,0,1567405758,55,37,5,11,2
0,0,0,1567390411,3125,10,0,5,0,0,0,1,0,0,1567406013,1567406013,0,127,5,1,0,0,0,0,1567406013,5,39,5,11,2
0,0,0,1567390411,3127,10,0,10,0,0,0,0,0,0,1567406023,1567406013,6,131,10,1,0,0,0,0,1567406013,7,39,10,11,2
0,0,0,1567390411,3129,10,0,10,0,0,0,0,0,0,1567406033,1567406013,8,131,10,1,0,0,0,0,1567406013,9,39,10,11,2
0,0,0,1567390411,3131,10,0,10,0,0,0,0,0,0,1567406043,1567406013,10,131,10,1,0,0,0,0,1567406013,11,39,10,11,2
0,0,0,1567390411,3133,10,0,10,0,0,0,0,0,0,1567406053,1567406013,12,131,10,1,0,0,0,0,1567406013,13,39,10,11,2
0,0,0,1567390411,3135,10,0,10,0,0,0,0,0,0,1567406063,1567406013,14,131,10,1,0,0,0,0,1567406013,15,39,10,11,2
0,0,0,1567390411,3137,10,0,10,0,0,0,0,0,0,1567406073,1567406013,16,131,10,1,0,0,0,0,1567406013,17,39,10,11,2
0,0,0,1567390411,3139,10,0,10,0,0,0,0,0,0,1567406083,1567406013,18,131,10,1,0,0,0,0,1567406013,19,39,10,11,2
0,0,0,1567390411,3141,10,0,10,0,0,0,0,0,0,1567406093,1567406013,20,131,10,1,0,0,0,0,1567406013,21,39,10,11,2
0,0,0,1567390411,3143,10,0,10,0,0,0,0,0,0,1567406103,1567406013,22,131,10,1,0,0,0,0,1567406013,23,39,10,11,2
0,0,0,1567390411,3145,10,0,10,0,0,0,0,0,0,1567406113,1567406013,24,131,10,1,0,0,0,0,1567406013,25,39,10,11,2
0,0,0,1567390411,3147,10,0,10,0,0,0,0,0,0,1567406123,1567406013,26,131,10,1,0,0,0,0,1567406013,27,39,10,11,2
0,0,0,1567390411,3149,10,0,10,0,0,0,0,0,0,1567406133,1567406013,28,131,10,1,0,0,0,0,1567406013,29,39,10,11,2
0,0,0,1567390411,3151,10,0,10,0,0,0,0,0,0,1567406143,1567406013,30,131,10,1,0,0,0,0,1567406013,31,39,10,11,2
0,0,0,1567390411,3153,10,0,10,0,0,0,0,0,0,1567406153,1567406013,32,131,10,1,0,0,0,0,1567406013,33,39,10,11,2
0,0,0,1567390411,3155,10,0,10,0,0,0,0,0,0,1567406163,1567406013,34,131,10,1,0,0,0,0,1567406013,35,39,10,11,2
0,0,0,1567390411,3157,10,0,10,0,0,0,0,0,0,1567406173,1567406013,36,131,10,1,0,0,0,0,1567406013,37,39,10,11,2
