IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,5422,4294964052,4294966226
4294967084,4294967084,4294967084,4294966209,4294967280,7704
4294967084,4294967084,4294967084,4294965119,4294967271,4294964012
4294967084,4294967084,4294967084,4294962960,4294965139,4294966239
4294967084,4294967084,4294967084,4293532857,16617943,4279856011
4294967084,4294967084,4294967084,18234525,4284361492,4287278140
4294967084,4294967084,4294967084,8179364,4276572209,10113734
4294967084,4294967084,4294967084,4277121170,5362482,12511074
4294967084,4294967084,4294967084,18154574,4283373361,4288359524
4294967084,4294967084,4294967084,4278712477,737643,15565451
4294967084,4294967084,4294967084,4292405746,17160602,4280472385
4294967084,4294967084,4294967084,4294967293,2190,4294966194
4294967084,4294967084,4294967084,9856,2195,6578
4294967084,4294967084,4294967084,10959,4384,7672
4294967084,4294967084,4294967084,4294964006,4294962905,4294964008
4294967084,4294967084,4294967084,4294965109,4294967295,4294966204
4294966930,4294967084,4294967084,4294967286,4294967286,4294967289
4294967084,4294967084,4294967084,10930,4294966213,4294966211
4294967084,4294967084,4294967084,4294966180,4294967293,4294966202
4294967084,4294967084,4294967084,10960,6576,4294966198
4294967084,4294967084,4294967084,8769,2193,7675
4294967084,4294967084,4294967084,9802,6546,4294966200
